commune,code_departement,dmaj,insee,region,departement,commune_1,appellation_courante,adresse_1,siecle,date_de_protection,precision_sur_la_protection,auteur,statut,description,historique,affectataire,adresse,ancienne_region,reference,contact,longitude,latitude,coordonnees,x_commune_code,x_commune_name,x_epci_code,x_epci_name,x_arrondissement_code,x_arrondissement_name,x_departement_code,x_departement_name,x_region_code,x_region_name
Briennon,42,2021-02-02,42026,Auvergne-Rhône-Alpes,Loire,Briennon,Eglise,,12e siècle,1978/09/06 : inscrit MH partiellement,"Clocher, choeur (cad. A 923) : inscription par arrêté du 6 septembre 1978",,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117431,mediatheque.patrimoine@culture.gouv.fr,4.08787202930885,46.1481644560716,"46.1481644560716,4.08787202930885",42026,Briennon,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Cervières,42,2021-02-02,42034,Auvergne-Rhône-Alpes,Loire,Cervières,Maison dite L'Auditorium,,16e siècle,1949/12/29 : inscrit MH,Maison sise en face de l'église dite L'Auditorium : inscription par arrêté du 29 décembre 1949,,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117432,mediatheque.patrimoine@culture.gouv.fr,3.77215847570091,45.8476607891617,"45.8476607891617,3.77215847570091",42034,Cervières,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chagnon,42,2021-11-08,42036,Auvergne-Rhône-Alpes,Loire,Chagnon,Aqueduc romain du Gier,,,1962/04/02 : classé MH,"Partie souterraine, dite Cave du Curé (cad. A 266, 351, 393, 394) : classement par arrêté du 2 avril 1962",,,,,,,Anciennement région de : Rhône-Alpes,PA00117433,mediatheque.patrimoine@culture.gouv.fr,,,,42036,Chagnon,244200770,CU Saint-Etienne Métropole,423,Saint-Ãtienne,42,Loire,84,Auvergne-Rhône-Alpes
Chagnon,42,2021-02-02,42036,Auvergne-Rhône-Alpes,Loire,Chagnon,Pont sur la Durèze (vieux),,16e siècle,1949/12/16 : inscrit MH,Pont sur la Durèze (vieux) : inscription par arrêté du 16 décembre 1949,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117434,mediatheque.patrimoine@culture.gouv.fr,4.55253064096233,45.5358595734137,"45.5358595734137,4.55253064096233",42036,Chagnon,244200770,CU Saint-Etienne Métropole,423,Saint-Ãtienne,42,Loire,84,Auvergne-Rhône-Alpes
Chalain-d'Uzore,42,2020-05-12,42037,Auvergne-Rhône-Alpes,Loire,Chalain-d'Uzore,Eglise Saint-Didier,,12e siècle;16e siècle,1964/09/17 : inscrit MH,Eglise Saint-Didier (cad. A 96) : inscription par arrêté du 17 septembre 1964,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117436,mediatheque.patrimoine@culture.gouv.fr,,,,42037,Chalain-d'Uzore,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chalain-d'Uzore,42,2021-02-02,42037,Auvergne-Rhône-Alpes,Loire,Chalain-d'Uzore,Château de Chalain,,16e siècle,1980/06/11 : classé MH ; 1980/06/11 : inscrit MH partiellement,"Galerie sur le côté Est de la cour intérieure ; cheminée et porte Renaissance de la grande salle au rez-de-chaussée ; cheminée de la bibliothèque au rez-de-chaussée ; cheminée du petit salon provenant du château de Goutelas, au rez-de-chaussée (cad. A 97) : classement par arrêté du 11 juin 1980 ; Façades et toitures à l'exclusion de la façade Sud trop remaniée ; poterne d'entrée ; grand salon au rez-de-chaussée et ancien oratoire au premier étage avec leur décor (cad. A 97) : inscription par arrêté du 11 juin 1980",,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117435,mediatheque.patrimoine@culture.gouv.fr,4.07213358959215,45.6718797194914,"45.6718797194914,4.07213358959215",42037,Chalain-d'Uzore,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chalmazel-Jeansagnière,42,2021-05-27,42039,Auvergne-Rhône-Alpes,Loire,Chalmazel-Jeansagnière,Église Saint-Jean-Baptiste,place de l’Église,4e quart 19e siècle,2021/01/04 : inscrit MH,"En totalité, l’église Saint-Jean-Baptiste, située place de l’Église, sur la parcelle n°74, figurant au cadastre section AB : inscription par arrêté du 4 janvier 2021",Franchet Charles-Marie (architecte);Hanssen Théodore-Gérard (maître-verrier),propriété de la commune,"La typologie de l'église s'inspire de modèles communs proposés dans les revues d'architecture. De style éclectique majoritairement néoroman, le tout est élégant mais très simple. Le plan rectangulaire est orienté nord-sud. La polychromie de l'appareil oblige le maître d'ouvrage à importer de la pierre de Volvic et du grès blanc qui complètent l'utilisation du granit local, ce dernier étant peu aisé à travailler. Ces choix de matériaux relève la composition par le contraste du grès clair lumineux avec le gris bleuté soulignant ainsi les divisions d'espaces et décorant les contours de baies. A l'intérieur, la nef, flanquée de deux collatéraux aboutit à un chœur semi-ciculaire. Le décor général, tel l'extérieur, est simple mais soigné, les intrados sont tous peints à la manière de rubans, les clés des voûtes d'arêtes sont aussi décorées de peintures dans la nef. L'iconographie des vitraux traite en parallèle de la vie de Jésus et de celle de Saint-Jean-Baptiste, les baies du collatéral évoquent leur jeunesse, employant des tons rouges et, à l'ouest, l'âge adulte et la mort avec des tons bleus. La particularité de l'orientation a été utilisée par l'artiste pour amplifier ces tons chauds ou froids en fonction du lever et du coucher du soleil et du sujet traité.
La demande de protection qui émane conjointement de la municipalité et du Pays d'Art et d'histoire du Forez, portait initialement sur les vitraux (délibération en ce sens).","Chalmazel est située dans l'ouest du territoire ligérien aux confins de celui-ci et du Puy-de-Dôme. Cette petite commune rurale fut transformée en station de sport d'hiver depuis 1953, année de l'installation de la première remontée mécanique. Mais le village, en bordure du Parc naturel régional Livradois-Forez conserve un tissu urbain ancien et un château-fort impressionnant des Marcilly-Talaru.
L'église est reconstruite en 1881, à la place de l'ancienne qui fut démolie. Il s'agit d'un ouvrage réalisé par Charles-Marie Franchet (1838-1902), architecte qui travaille dans l'équipe de Pierre Bossan avant de devenir son associé entre 1869 et 1872. Pour le chantier de Chalmazel, il fait travailler l'entrepreneur lyonnais Etienne Clément. Un clocher au toit octogonal sera ajouté en 1936 par un autre maître d'œuvre mais cet ultime complément respecte la structure initiale de Franchet et son style décoratif. A l'intérieur de l'église, seize vitraux qui éclairent le bâtiment sont l'œuvre de Théodore-Gérard Hanssen (1885-1957), plasticien et maître verrier d'origine belge. Ce projet est issu de l'amitié entre l'artiste et le curé du village, Léon Noyer, née dans les tranchées de la Grande guerre. Hanssen aurait alors promis à son ami de réaliser les vitraux de l'église de sa première affectation. Hanssen est blessé en 1917. Lors de sa convalescence à Paris il se marie et s'installe dans la capitale. La promesse fut tenue tardivement, entre 1942 et 1944. La production des verres est issue des ateliers de la verrerie de Saint-Just.",,Église (place de),,PA42000053,mediatheque.patrimoine@culture.gouv.fr,3.850818209595986,45.703781622279884,"45.703781622279884,3.850818209595986",42039,Chalmazel-Jeansagnière,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chalmazel,42,2021-01-26,42039,Auvergne-Rhône-Alpes,Loire,Chalmazel,Château des Talaru,,13e siècle;16e siècle,1949/12/16 : inscrit MH ; 2000/08/16 : inscrit MH,"""Façades et toitures ; terrain environnant : inscription par arrêté du 16 décembre 1949 - Chapelle intérieure avec son décor et salle dite ""salle de justice"" (cad. BC 145) : inscription par arrêté du 16 août 2000""",,propriété d'une association cultuelle,,"Construit en 1231, le château est légué en 1850 à une congrégation religieuse, la Maison des Soeurs de Saint-Joseph, qui l'utilise comme hospice et dispensaire jusqu'en 1972. Restaurations en 1850 (toiture, reconstruction de la façade est et de la tour sud-est, reconstruction des niveaux inférieurs). Le château présente l'aspect d'une massive forteresse médiévale de plan pentagonal, flanquée de tours d'angle. A l'intérieur, la salle de justice conserve une cheminée du 16e siècle. Dans la chapelle gothique voûtée d'ogives, présence de décors peints datés des 15e et 17e siècles.",,,Anciennement région de : Rhône-Alpes,PA00117437,mediatheque.patrimoine@culture.gouv.fr,,,,42039,Chalmazel-Jeansagnière,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chambles,42,2020-11-17,42042,Auvergne-Rhône-Alpes,Loire,Chambles,Château de Vassalière,,16e siècle,1981/12/18 : inscrit MH partiellement,Pigeonnier (cad. C 46) : inscription par arrêté du 18 décembre 1981,,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117438,mediatheque.patrimoine@culture.gouv.fr,,,,42042,Chambles,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chambles,42,2021-02-02,42042,Auvergne-Rhône-Alpes,Loire,Chambles,Prieuré du Châtelet (ancien),,12e siècle,1945/10/23 : inscrit MH partiellement,Chapelle : inscription par arrêté du 23 octobre 1945,,propriété d'un établissement public,,,,,Anciennement région de : Rhône-Alpes,PA00117440,mediatheque.patrimoine@culture.gouv.fr,4.25497501372549,45.4421605602328,"45.4421605602328,4.25497501372549",42042,Chambles,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chambles,42,2021-11-08,42042,Auvergne-Rhône-Alpes,Loire,Chambles,Tour,,12e siècle,1949/12/16 : inscrit MH,Tour : inscription par arrêté du 16 décembre 1949,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117441,mediatheque.patrimoine@culture.gouv.fr,4.24071972330706,45.4414994148664,"45.4414994148664,4.24071972330706",42042,Chambles,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chambles,42,2021-02-02,42042,Auvergne-Rhône-Alpes,Loire,Chambles,Collège des Oratoriens de Notre-Dame-des-Grâces (ancien),,1ère moitié 17e siècle,1984/12/28 : inscrit MH partiellement,"Eglise, façades et toitures des communs et de l'ermitage (cad. D 13, 17, 1277, 1278) : inscription par arrêté du 28 décembre 1984",,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117439,mediatheque.patrimoine@culture.gouv.fr,4.21752301176357,45.4569747675895,"45.4569747675895,4.21752301176357",42042,Chambles,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chamboeuf,42,2021-02-02,42043,Auvergne-Rhône-Alpes,Loire,Chamboeuf,Eglise abbatiale de Jourcey (ancienne),,12e siècle,1950/08/18 : inscrit MH,Eglise abbatiale de Jourcey (ancienne) : inscription par arrêté du 18 août 1950,,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117442,mediatheque.patrimoine@culture.gouv.fr,4.28855331292474,45.5800630845153,"45.5800630845153,4.28855331292474",42043,Chambœuf,244200770,CU Saint-Etienne Métropole,421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chambon-Feugerolles (Le),42,2021-02-02,42044,Auvergne-Rhône-Alpes,Loire,Le Chambon-Feugerolles,Château de Feugerolles,,13e siècle;16e siècle;17e siècle,2012/01/25 : inscrit MH,"Le château en totalité : le logis principal, la maison attenante, l'ancienne salle de justice, la chapelle, les terrasses et éléments maçonnés inclus dans l'enceinte, l'enceinte avec la porte monumentale, les tours, le tout, ainsi que la parcelle sur laquelle ces éléments se trouvent (cad. BM 85), les fossés ensevelis, les jardins ainsi que les parcelles sur lesquels ils se trouvent (cad. BM 82, 84, 72) : inscription par arrêté du 25 janvier 2012",,propriété privée,,"Le château s'inscrit dans une enceinte pourvue d'une porte monumentale. Le plan de cette enceinte en forme de losange indique la présence d'une tour à chacun de ses angles. Un certain nombre de campagnes de travaux furent menées notamment au 13e siècle ainsi qu'au 17e siècle où le logis fut fortement modifié et un jardin régulier aménagé. La création de la charmille et les terrasses d'agrément datent également de cette dernière période. Une nouvelle campagne de travaux au début du 20e siècle achèvera de donner son aspect définitif à la demeure. L'intérieur conserve des éléments de décors intéressants : cheminée monumentale, papiers peints «Dufour» datés vers 1820, escalier avec sa rampe en fer forgé.",,,Anciennement région de : Rhône-Alpes,PA00117443,mediatheque.patrimoine@culture.gouv.fr,4.33947610543245,45.3842455118653,"45.3842455118653,4.33947610543245",42044,Le Chambon-Feugerolles,244200770,CU Saint-Etienne Métropole,423,Saint-Ãtienne,42,Loire,84,Auvergne-Rhône-Alpes
Champdieu,42,2021-02-02,42046,Auvergne-Rhône-Alpes,Loire,Champdieu,Château de Vaugirard,,1er quart 17e siècle,1970/05/21 : classé MH,Façades et toitures ; portail d'entrée ; chambre dite des chevaliers au premier étage avec son décor ; cheminée de la pièce attenante (cad. B 625) : classement par arrêté du 21 mai 1970,,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117444,mediatheque.patrimoine@culture.gouv.fr,4.07320390665318,45.6392524831178,"45.6392524831178,4.07320390665318",42046,Champdieu,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Champdieu,42,2021-02-02,42046,Auvergne-Rhône-Alpes,Loire,Champdieu,Enceinte (ancienne),,14e siècle,1914/09/22 : classé MH,Porte Nord et tour contiguë : classement par arrêté du 22 septembre 1914,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117445,mediatheque.patrimoine@culture.gouv.fr,4.0452316961694,45.6450531003337,"45.6450531003337,4.0452316961694",42046,Champdieu,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Champdieu,42,2020-11-17,42046,Auvergne-Rhône-Alpes,Loire,Champdieu,Prieuré (ancien),,,1886/07/12 : classé MH ; 1914/04/18 : classé MH,Eglise : classement par arrêté du 12 juillet 1886 ; Prieuré : classement par journal officiel du 18 avril 1914,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117446,mediatheque.patrimoine@culture.gouv.fr,,,,42046,Champdieu,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Chapelle-Villars (La),42,2021-02-02,42051,Auvergne-Rhône-Alpes,Loire,La Chapelle-Villars,Château de Villars,,16e siècle;17e siècle,1978/12/28 : inscrit MH partiellement,Façades et toitures ; peintures de la coupole au rez-de-chaussée de la tour Nord-Est ; salle commune avec son décor ; cheminée de la chambre de l'Archevêque au premier étage ; peintures murales du corridor central au deuxième étage (cad. C 59) : inscription par arrêté du 28 décembre 1978,,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117447,mediatheque.patrimoine@culture.gouv.fr,4.7122971133997,45.4731333677045,"45.4731333677045,4.7122971133997",42051,La Chapelle-Villars,244200895,CC DU PILAT-RODHANIEN,423,Saint-Ãtienne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2021-02-02,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Maison dite Hôtel d'Armagnac,9 rue Charles-de-Gaulle ; anciennement rue Mercière,14e siècle,1889 : classé MH,Maison dite Hôtel d'Armagnac : classement par liste de 1889,,propriété privée,,,,Charles-de-Gaulle (rue) 9 ; anciennement Mercière (rue,Anciennement région de : Rhône-Alpes,PA00117453,mediatheque.patrimoine@culture.gouv.fr,4.17190255100366,46.1587747067158,"46.1587747067158,4.17190255100366",42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2020-11-17,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Maison,12 rue Charles-de-Gaulle ; anciennement rue Mercière,16e siècle,1928/11/10 : inscrit MH partiellement,Porte sur cour à linteau sculpté : inscription par arrêté du 10 novembre 1928,,propriété privée,,,,Charles-de-Gaulle (rue) 12 ; anciennement Mercière (rue,Anciennement région de : Rhône-Alpes,PA00117454,mediatheque.patrimoine@culture.gouv.fr,,,,42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2021-02-02,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Maison,29 rue Farinat ; anciennement rue Chevroterie,,1889 : classé MH,Maison : classement par liste de 1889,,,,,,Farinet (rue) 29 ; anciennement Chevroterie (rue),Anciennement région de : Rhône-Alpes,PA00117456,mediatheque.patrimoine@culture.gouv.fr,4.1728503637837,46.1593358012664,"46.1593358012664,4.1728503637837",42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2019-05-15,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Château de Gatellier,,,,Voir commune de : Saint-Denis-de-Cabanne,,,,,,,Oeuvre sur plusieurs communes : Saint-Denis-De-Cabanne. Anciennement région de : Rhône-Alpes,PA00117449,mediatheque.patrimoine@culture.gouv.fr,,,,42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2020-11-28,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Couvent des Cordeliers (ancien) (également sur commune de Saint-Nizier-sous-Charlieu),,,1981/04/23 : inscrit MH partiellement,Bâtiment dit bibliothèque (cad. AP 233) : inscription par arrêté du 23 avril 1981,,propriété du département,,,,,Oeuvre sur plusieurs communes : Saint Nizier Sous Charlieu. Anciennement région de : Rhône-Alpes,PA00117450,mediatheque.patrimoine@culture.gouv.fr,,,,42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2021-02-02,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Maison,19 place Saint-Philibert ; rue des Moulins,,1928/10/19 : inscrit MH partiellement,Facades et toiture (cad. AR 471) : inscription par arrêté du 19 octobre 1928,,propriété privée,,,,Saint-Philibert (place) 19 ; Moulins (rue des),Anciennement région de : Rhône-Alpes,PA00117460,mediatheque.patrimoine@culture.gouv.fr,4.17037799551514,46.1579873300857,"46.1579873300857,4.17037799551514",42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Charlieu,42,2021-02-02,42052,Auvergne-Rhône-Alpes,Loire,Charlieu,Maison,22 rue Farinat ; anciennement rue Chevroterie,16e siècle,1889 : classé MH,Maison : classement par liste de 1889,,propriété privée,,,,Farinet (rue) 22 ; anciennement Chevroterie (rue,Anciennement région de : Rhône-Alpes,PA00117455,mediatheque.patrimoine@culture.gouv.fr,4.17323888335772,46.1591023181262,"46.1591023181262,4.17323888335772",42052,Charlieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
